tau (s) - HBT Measurement	g^(2)(tau) - HBT Measurement	tau (s) - none Fit	g^(2)(tau) - none Fit	
16,0291n	1,17882	16,0291n	1	
16,1911n	1,24618	16,1911n	1	
16,353n	943,054m	16,353n	1	
16,5149n	1,24618	16,5149n	1	
16,6768n	740,971m	16,6768n	1	
16,8387n	1,44826	16,8387n	1	
17,0006n	707,29m	17,0006n	1	
17,1625n	909,373m	17,1625n	1	
17,3244n	875,693m	17,3244n	1	
17,4863n	875,693m	17,4863n	1	
17,6482n	976,734m	17,6482n	1	
17,8102n	1,2125	17,8102n	1	
17,9721n	943,054m	17,9721n	1	
18,134n	909,373m	18,134n	1	
18,2959n	909,373m	18,2959n	1	
18,4578n	1,27986	18,4578n	1	
18,6197n	842,012m	18,6197n	1	
18,7816n	1,01041	18,7816n	1	
18,9435n	1,2125	18,9435n	1	
19,1054n	1,01041	19,1054n	1	
19,2674n	1,11146	19,2674n	1	
19,4293n	909,373m	19,4293n	1	
19,5912n	1,14514	19,5912n	1	
19,7531n	1,31354	19,7531n	1	
19,915n	673,61m	19,915n	1	
20,0769n	1,2125	20,0769n	1	
20,2388n	1,14514	20,2388n	1	
20,4007n	1,24618	20,4007n	1	
20,5626n	1,0441	20,5626n	1	
20,7245n	909,373m	20,7245n	1	
20,8865n	1,0441	20,8865n	1	
21,0484n	1,0441	21,0484n	1	
21,2103n	842,012m	21,2103n	1	
21,3722n	1,2125	21,3722n	1	
21,5341n	909,373m	21,5341n	1	
21,696n	1,0441	21,696n	1	
21,8579n	842,012m	21,8579n	1	
22,0198n	976,734m	22,0198n	1	
22,1817n	707,29m	22,1817n	1	
22,3437n	1,11146	22,3437n	1	
22,5056n	976,734m	22,5056n	1	
22,6675n	774,651m	22,6675n	1	
22,8294n	976,734m	22,8294n	1	
22,9913n	1,17882	22,9913n	1	
23,1532n	842,012m	23,1532n	1	
23,3151n	943,054m	23,3151n	1	
23,477n	1,48194	23,477n	1	
23,6389n	1,01041	23,6389n	1	
23,8009n	943,054m	23,8009n	1	
23,9628n	1,0441	23,9628n	1	
24,1247n	1,01041	24,1247n	1	
24,2866n	740,971m	24,2866n	1	
24,4485n	909,373m	24,4485n	1	
24,6104n	1,07778	24,6104n	1	
24,7723n	1,0441	24,7723n	1	
24,9342n	1,11146	24,9342n	1	
25,0961n	1,24618	25,0961n	1	
25,258n	1,07778	25,258n	1	
25,42n	875,693m	25,42n	1	
25,5819n	1,0441	25,5819n	1	
25,7438n	1,2125	25,7438n	1	
25,9057n	1,11146	25,9057n	1	
26,0676n	943,054m	26,0676n	1	
26,2295n	740,971m	26,2295n	1	
26,3914n	976,734m	26,3914n	1	
26,5533n	875,693m	26,5533n	1	
26,7152n	1,2125	26,7152n	1	
26,8772n	943,054m	26,8772n	1	
27,0391n	1,0441	27,0391n	1	
27,201n	1,0441	27,201n	1	
27,3629n	875,693m	27,3629n	1	
27,5248n	842,012m	27,5248n	1	
27,6867n	1,27986	27,6867n	1	
27,8486n	1,01041	27,8486n	1	
28,0105n	875,693m	28,0105n	1	
28,1724n	976,734m	28,1724n	1	
28,3343n	1,07778	28,3343n	1	
28,4963n	1,07778	28,4963n	1	
28,6582n	1,27986	28,6582n	1	
